Name|Description|Price tax included|Price tax excluded|Image URLs|Categories|Tax rule|Product creation date|Quantity
ALLSEASONS (Polski Film Kitesurfingowy)|Pierwszy w historii film pokazujący pełne spektrum kitesurfingu w odniesieniu do stylów oraz pór roku, w jakich można go uprawiać. Woodpecker Motion Pictures debiutuje z filmem, który podbije serca nie tylko fanów kitesurfingu i innych sportów wodnych, ale również tych wszystkich, którzy kochają podróże, dobrą muzykę i film dokumentalny w najlepszym wydaniu!|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/plakat-all-multi-final_e2d98edb17.jpg|18-11-2021|1|2021-11-18|100
Diuna|Diuna opowiada historię niezwykłej, pełnej przygód i emocji podróży Paula Atreidesa. Temu genialnemu i utalentowanemu młodemu człowiekowi pisane jest wspaniałe przeznaczenie, którego on sam nie jest w stanie pojąć. Najpierw jednak Paul musi się udać na najbardziej niebezpieczną planetę we wszechświecie, żeby ratować rodzinę i rodaków. Na planecie wybucha zażarty konflikt o dostęp do niewystępującej nigdzie indziej, najcenniejszej ze znanych substancji. Wyzwala ona w ludziach ich największy potencjał. Ale wojnę przetrwają tylko ci, którzy pokonają swój strach.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/diuna-b1-1-final2809_6e3855be95.jpg|18-11-2021|1|2021-10-22|100
Eternals|"Kolejni bohaterowie w epickim Kinowym Uniwersum Marvela. Tym razem poznamy nieśmiertelną rasę, która ukształtowała życie na Ziemi. W ""Eternals"" zobaczymy Angelinę Jolie, Richarda Maddena i Salmę Hayek."|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/eternals-plakat-official-cut_26d352b32d.jpg|18-11-2021|1|2021-11-05|100
Furioza|„Furioza” to bezkompromisowa historia policjantki, która spróbuje rozbić układ, w którym się wychowała. To opowieść o miłości niemożliwej, o ludziach, którzy muszą stanąć po dwóch stronach barykady i tragicznym wyborze pomiędzy uczuciem, a przestępczym życiem zgodnym z określonymi zasadami. Film, który zadaje pytanie, czy człowiek ma prawo do zemsty, kiedy wymiar sprawiedliwości jest bezsilny?|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/furioza-plakat-oficjalnycut_87d1bd7a36.jpg|18-11-2021|1|2021-10-22|100
Nędzarz i madame|Buntownicza natura oraz niezgoda na zło i cierpienie sprawiają, że ucieka fortelem z carskiej niewoli ukryty w trumnie. Po osiągnięciu sławy porzuca sztukę, aby służyć ludziom. Jego tragiczny los wieńczy załamanie, wydalenie z zakonu jezuitów oraz zamknięcie w zakładzie dla umysłowo chorych. Wkrótce jednak odrodził się i powrócił, jako Brat Albert – przyszły święty. Filmową historię jego życia dopełniają losy sławnych przyjaciół i artystów – Heleny Modrzejewskiej i Józefa Chełmońskiego.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/nedzarz_b6e2392d75.png|18-11-2021|1|2021-11-12|100
Nie czas umierać|James Bond wycofał się z czynnej służby i spokojnie spędza czas na Jamajce. Tymczasem jego stary przyjaciel Felix Leiter z CIA zwraca się do niego o pomoc. Chodzi o uprowadzonego naukowca, którego trzeba wyrwać z rąk porywaczy. Misja okazuje się o wiele bardziej zdradziecka, niż mogłoby się wydawać i naprowadza agenta 007 na ślad tajemniczego przestępcy, dysponującego nową, niezwykle niebezpieczną technologią.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/nttd-poster-pl-2021_14841a7687.jpg|18-11-2021|1|2021-10-01|100
Ostatniej Nocy w Soho|"Produkcja zapowiada się niezwykle ciekawie. W rolach głównych zobaczymy Thomasin McKenzie, która została doceniona za rolę w ""Jojo Rabbit"" oraz Annę Taylor-Joy znanej głównie z serialu ""Gambit Królowej"".  Reżyserem filmu jest Edgar Wright (""Baby Driver"")."|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/ostatniej-nocy-w-soho-plakatcut_e34de65659.jpg|18-11-2021|1|2021-10-29|100
Pitbull|Kiedy podłożony na stacji paliw ładunek wybuchowy zabija policyjnego sapera, komendant główny policji przydziela do sprawy Gebelsa z wydziału ds. zabójstw. Śledztwo prowadzi go na trop przestępcy ze zbrojnego ramienia  grupy Pershinga - konstruktora bomb i porywacza, stojącego za dziesiątkami zamachów w Polsce i ponad setką porwań w całym kraju.  Konfrontacja bandyty i psa przeradza się w regularną wojnę. Od tych wydarzeń mijają lata. Znany z serialu syn Gebelsa, Jarek, który jest studentem informatyki na politechnice, wraz z kolegami znajduje ryzykowny sposób na szybki zarobek i przy wykorzystaniu wiedzy zaczyna dokonywać włamań do willi bogatych ludzi. Pech chce, że którejś nocy wybiera niewłaściwy dom, a Gebels staje przed sytuacją bez wyjścia, w której musi wsadzić własne dziecko do więzienia. Może być policjantem, który aresztuje przestępcę. Albo ojcem, który uratuje dziecko.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/pitbull-oficjalny-plakat-27-10_ae40fd994e.jpg|18-11-2021|1|2021-11-11|100
Psi Patrol Film|"Film animowany zrealizowany na podstawie popularnego  serialu ""Psi patrol"".  To opowieść o bohaterskich pieskach i o chłopcu którzy niosą pomoc potrzebującym."|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/psi-patrol-plakat1_8defd6b11e.jpg|18-11-2021|1|2021-09-03|100
PSZCZÓŁKA MAJA: MAŁY WIELKI SKARB|Na dodatek wkrótce okaże się, że pestka tak naprawdę jest jajkiem, z którego wykluje się mała sympatyczna, ale nieco nieogarnięta mrówka.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/pszczolka-plakat-cut_29f3aa95c4.jpg|18-11-2021|1|2021-11-11|100
RODZINA ADDAMSÓW 2|Nie będzie to jednak zwykła wycieczka krajoznawcza, gdyż na Addamsów czeka ogrom okropnie obłędnych przygód, które sprawią, że włosy staną dęba na głowie nawet Kuzynowi Coś.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/theaddamsfamily2-payoffposter-cut_3c0e3ce706.jpg|18-11-2021|1|2021-10-22|100
Rodzinka rządzi|Pierwszy film ”Dzieciak rządzi”, na całym świecie zarobił ponad 500 milionów dolarów. Nowy film „Rodzinka rządzi” jest wyreżyserowany przez Toma McGratha, a producentem jest Jeff Hermann (Kung Fu Panda 3). W wersji oryginalnej głosów użyczyli: Alec Baldwin, Jeff Goldblum, Ariana Greenblatt, Jimmy Kimmel, Lisa Kudrow, Eva Longoria, James Marsden, Amy Sedaris.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/rodzinka-rzadzi-plakat-online-cut_efe70f7d91.jpg|18-11-2021|1|2021-10-01|100
Spencer|W małżeństwo księżnej Diany i księcia Karola już dawno wkradł się chłód. Krążą pogłoski o ich romansach i możliwym rozwodzie. Jednak święta Bożego Narodzenia w królewskiej posiadłości Sandringham mają przynieść spokój i rozładowanie napięć. Obfitość jedzenia i picia, strzelanie i polowania – oto wypróbowane sposoby wyciszania sporów. Diana dobrze zna tę grę. W tym roku sprawy przybiorą jednak inny obrót…|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/spencer-plakat-cut_3c731adfae.jpg|18-11-2021|1|2021-11-05|100
To musi być miłość|"Pełna humoru i wzruszeń komedia romantyczna od producentów „Narzeczonego na Niby”! 
W gwiazdorskiej obsadzie znaleźli się m.in.: Małgorzata Kożuchowska i Tomasz Karolak, Anna Smołowik i Rafał Królikowski, Jan Englert i Małgorzata Zajączkowska."|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/tmbm-plakat-cut_48594f1009.jpg|18-11-2021|1|2021-11-05|100
Ty jesteś następna|Grupa uczennic prestiżowej szkoły w ramach niewinnej zabawy odprawia tajemniczy rytuał wywoływania duchów. W kolejnych dniach dziewczyny, jedna po drugiej, zaczynają znikać w niewyjaśnionych okolicznościach.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/ty-jestes-nastepna_8f0fce167a.JPG|18-11-2021|1|2021-11-12|100
Venom 2: Carnage|Venom to jedna z najważniejszych, najbardziej złożonych postaci Marvela. Opowiada o dziennikarzu Eddie'm Brocku (Tom Hardy), którego ciało w wyniku eksperymentu scaliło się z obcą formą życia - Venomem. W drugiej części poznamy Carnage’a (Woody Harrelson). Jest to jeden z najbardziej znanych czarnych charakterów Marvela. Reżyserem produkcji jest Andy Serkis.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/venom-official-poster-cut_85f9a84436.jpg|18-11-2021|1|2021-10-15|100
Wesele|A jeśli już się uda, to najczęściej w ukryciu – w obawie i strachu przed konsekwencjami i zdemaskowaniem. Świt zastanie bohaterów w różnej kondycji, stanie emocjonalnym i z różnym bagażem doświadczeń. Pewne jest tylko jedno – z tym weselnym kacem każdy będzie musiał poradzić sobie sam.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/wesele-plakat-oficjalny-cut_7a6a92dec6.jpg|18-11-2021|1|2021-10-08|100
Wszystkie nasze strachy|Daniel (Dawid Ogrodnik) jest artystą, katolikiem i aktywistą. Domy w rodzinnej miejscowości ozdobione są jego imponującymi malowidłami, rzeźby trafiają na cenione wystawy w Warszawie, a instalacje w rodzaju podświetlonej i pozdrawiającej głosami mieszkańców kapliczki służą lokalnej wspólnocie. Jego znakiem rozpoznawczym jest bluza ozdobiona tęczowymi elementami. Jako głęboko wierzący katolik, Daniel angażuje się w sprawy duchowe. Mężczyzna uważa, że kościół nie powinien być miejscem wykluczenia a w jego wspólnocie jest miejsce dla każdego bez względu na światopogląd i osobiste wybory. W wyniku dramatycznych wydarzeń Daniel decyduje się na wzięcie udziału w odważnej walce w obronie swoich idei i postanawia rozprawić się z homofobią mieszkańców rodzinnej miejscowości.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/wszystkie-nasze-strachy-plakat-cut_0ada755aa7.jpg|18-11-2021|1|2021-11-05|100
Bo we mnie jest seks|"Warszawa, lata 60. Przed ekranami czarno-białych odbiorników zasiadają miliony Polaków. I nagle ktoś przykuwa ich wzrok.  
To Kalina Jędrusik (Maria Dębska) – zjawiskowa aktorka i piosenkarka, która wnosi koloryt do bezbarwnej rzeczywistości. Kusi wdziękiem i seksapilem. Elektryzuje panów i oburza panie. Oto pierwsza seksbomba PRL-u, zwana polską Marilyn Monroe.  
 Kalina nie chce się wpisywać w ówczesny model kobiety. Żyje na własnych zasadach, co nie zawsze podoba się pruderyjnemu społeczeństwu
i niektórym wpływowym ludziom u władzy. Liczne skandale, życie w miłosnym trójkącie z mężem Stanisławem Dygatem (Leszek Lichota) i Luckiem (Krzysztof Zalewski), kontrowersyjne wypowiedzi i epatujące seksapilem stroje sprawiają, że Kalina zyskuje także miano naczelnej skandalistki PRL-u. A przecież największy skandal z jej udziałem dopiero się zacznie…"|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/bwmjs-lekkie-cut_fa9316bf87.jpg|19-11-2021|1|2021-11-19|100
Diuna|Diuna opowiada historię niezwykłej, pełnej przygód i emocji podróży Paula Atreidesa. Temu genialnemu i utalentowanemu młodemu człowiekowi pisane jest wspaniałe przeznaczenie, którego on sam nie jest w stanie pojąć. Najpierw jednak Paul musi się udać na najbardziej niebezpieczną planetę we wszechświecie, żeby ratować rodzinę i rodaków. Na planecie wybucha zażarty konflikt o dostęp do niewystępującej nigdzie indziej, najcenniejszej ze znanych substancji. Wyzwala ona w ludziach ich największy potencjał. Ale wojnę przetrwają tylko ci, którzy pokonają swój strach.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/diuna-b1-1-final2809_6e3855be95.jpg|19-11-2021|1|2021-10-22|100
Eternals|"Kolejni bohaterowie w epickim Kinowym Uniwersum Marvela. Tym razem poznamy nieśmiertelną rasę, która ukształtowała życie na Ziemi. W ""Eternals"" zobaczymy Angelinę Jolie, Richarda Maddena i Salmę Hayek."|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/eternals-plakat-official-cut_26d352b32d.jpg|19-11-2021|1|2021-11-05|100
Furioza|„Furioza” to bezkompromisowa historia policjantki, która spróbuje rozbić układ, w którym się wychowała. To opowieść o miłości niemożliwej, o ludziach, którzy muszą stanąć po dwóch stronach barykady i tragicznym wyborze pomiędzy uczuciem, a przestępczym życiem zgodnym z określonymi zasadami. Film, który zadaje pytanie, czy człowiek ma prawo do zemsty, kiedy wymiar sprawiedliwości jest bezsilny?|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/furioza-plakat-oficjalnycut_87d1bd7a36.jpg|19-11-2021|1|2021-10-22|100
Gwiazdka Klary Muu|"Po przyjeździe na miejsce okazuje się, że tato Klary wcale nie jest gotowy do świętowania. Przed domem brakuje choinki, a bombki i lampki kurzą się w kartonach. Do tego pech sprawia, że zostaje on pilnie wezwany do odśnieżania domu sąsiadki, a odcięta droga przejazdowa uniemożliwia powrót. Co robić, gdy do Gwiazdki zostało coraz mniej czasu? Gotowa na wszystko Klara, postanawia wezwać na pomoc świątecznego gnoma. Legenda głosi, że wystarczy miska domowej owsianki, by przekonać go do pracy. Niespodziewanie cała sytuacja zaczyna wymykać się spod kontroli i niewiele brakuje, by nadchodzące Święta legły w gruzach! Czy bohaterom uda się poskromić serię niepowodzeń i łakomego gnoma? ""Gwiazdka Klary Muu"" to pełna uroku i muzycznych hitów, opowieść o magii świąt i rodzinnym cieple, dzięki którym nawet wywrócona do góry nogami choinka, wydaje się najpiękniejsza."|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/gwiazdka-klary-muu-b1-plakat-online-kopia_a81e3b6485.jpg|19-11-2021|1|2021-11-19|100
KURIER FRANCUSKI Z LIBERTY, KANSAS EVENING SUN|Zbiór opowiadań z ostatniego numeru amerykańskiego magazynu opublikowanego w fikcyjnym francuskim mieście XX wieku.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/kurier-fr-netcut_b9e929bbb3.jpg|19-11-2021|1|2020-11-19|100
Nie czas umierać|James Bond wycofał się z czynnej służby i spokojnie spędza czas na Jamajce. Tymczasem jego stary przyjaciel Felix Leiter z CIA zwraca się do niego o pomoc. Chodzi o uprowadzonego naukowca, którego trzeba wyrwać z rąk porywaczy. Misja okazuje się o wiele bardziej zdradziecka, niż mogłoby się wydawać i naprowadza agenta 007 na ślad tajemniczego przestępcy, dysponującego nową, niezwykle niebezpieczną technologią.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/nttd-poster-pl-2021_14841a7687.jpg|19-11-2021|1|2021-10-01|100
Pitbull|Kiedy podłożony na stacji paliw ładunek wybuchowy zabija policyjnego sapera, komendant główny policji przydziela do sprawy Gebelsa z wydziału ds. zabójstw. Śledztwo prowadzi go na trop przestępcy ze zbrojnego ramienia  grupy Pershinga - konstruktora bomb i porywacza, stojącego za dziesiątkami zamachów w Polsce i ponad setką porwań w całym kraju.  Konfrontacja bandyty i psa przeradza się w regularną wojnę. Od tych wydarzeń mijają lata. Znany z serialu syn Gebelsa, Jarek, który jest studentem informatyki na politechnice, wraz z kolegami znajduje ryzykowny sposób na szybki zarobek i przy wykorzystaniu wiedzy zaczyna dokonywać włamań do willi bogatych ludzi. Pech chce, że którejś nocy wybiera niewłaściwy dom, a Gebels staje przed sytuacją bez wyjścia, w której musi wsadzić własne dziecko do więzienia. Może być policjantem, który aresztuje przestępcę. Albo ojcem, który uratuje dziecko.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/pitbull-oficjalny-plakat-27-10_ae40fd994e.jpg|19-11-2021|1|2021-11-11|100
Pogromcy duchów: Dziedzictwo|Kolejny rozdział oryginalnego uniwersum Ghostbusters. Samotna matka i jej dwoje dzieci przybywają do małego miasteczka, gdzie odkrywają tajemnicze połączenie z oryginalnymi pogromcami duchów oraz sekretny spadek, który pozostawił im dziadek.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/pogromcyduchow-plakat-cut_f596097c63.JPG|19-11-2021|1|2021-11-19|100
Psi Patrol Film|"Film animowany zrealizowany na podstawie popularnego  serialu ""Psi patrol"".  To opowieść o bohaterskich pieskach i o chłopcu którzy niosą pomoc potrzebującym."|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/psi-patrol-plakat1_8defd6b11e.jpg|19-11-2021|1|2021-09-03|100
PSZCZÓŁKA MAJA: MAŁY WIELKI SKARB|Na dodatek wkrótce okaże się, że pestka tak naprawdę jest jajkiem, z którego wykluje się mała sympatyczna, ale nieco nieogarnięta mrówka.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/pszczolka-plakat-cut_29f3aa95c4.jpg|19-11-2021|1|2021-11-11|100
RODZINA ADDAMSÓW 2|Nie będzie to jednak zwykła wycieczka krajoznawcza, gdyż na Addamsów czeka ogrom okropnie obłędnych przygód, które sprawią, że włosy staną dęba na głowie nawet Kuzynowi Coś.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/theaddamsfamily2-payoffposter-cut_3c0e3ce706.jpg|19-11-2021|1|2021-10-22|100
Rodzinka rządzi|Pierwszy film ”Dzieciak rządzi”, na całym świecie zarobił ponad 500 milionów dolarów. Nowy film „Rodzinka rządzi” jest wyreżyserowany przez Toma McGratha, a producentem jest Jeff Hermann (Kung Fu Panda 3). W wersji oryginalnej głosów użyczyli: Alec Baldwin, Jeff Goldblum, Ariana Greenblatt, Jimmy Kimmel, Lisa Kudrow, Eva Longoria, James Marsden, Amy Sedaris.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/rodzinka-rzadzi-plakat-online-cut_efe70f7d91.jpg|19-11-2021|1|2021-10-01|100
Ron usterka|„Ron usterka” wytwórni 20th Century Studios i Locksmith Animation to historia Barneya, społecznie wycofanego gimnazjalisty i Rona, jego nowego, chodzącego i mówiącego robota, który ma być jego „Najlepszym przyjacielem z pudełka”. Przezabawne awarie Rona, rozgrywające się na tle ery mediów społecznościowych, wprowadzają ich w pełną akcji podróż, w której chłopiec i robot odkryją prawdziwą przyjaźń. Film jest wyreżyserowany przez weterana studia Pixar, Jean-Philippe Vine'a oraz współzałożycielkę Locksmith Sarah Smith. Scenariusz został napisany przez Petera Baynhama.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/ron-net-plakat_c5ab6478bc.jpg|19-11-2021|1|2021-10-22|100
Spencer|W małżeństwo księżnej Diany i księcia Karola już dawno wkradł się chłód. Krążą pogłoski o ich romansach i możliwym rozwodzie. Jednak święta Bożego Narodzenia w królewskiej posiadłości Sandringham mają przynieść spokój i rozładowanie napięć. Obfitość jedzenia i picia, strzelanie i polowania – oto wypróbowane sposoby wyciszania sporów. Diana dobrze zna tę grę. W tym roku sprawy przybiorą jednak inny obrót…|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/spencer-plakat-cut_3c731adfae.jpg|19-11-2021|1|2021-11-05|100
To musi być miłość|"Pełna humoru i wzruszeń komedia romantyczna od producentów „Narzeczonego na Niby”! 
W gwiazdorskiej obsadzie znaleźli się m.in.: Małgorzata Kożuchowska i Tomasz Karolak, Anna Smołowik i Rafał Królikowski, Jan Englert i Małgorzata Zajączkowska."|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/tmbm-plakat-cut_48594f1009.jpg|19-11-2021|1|2021-11-05|100
Ty jesteś następna|Grupa uczennic prestiżowej szkoły w ramach niewinnej zabawy odprawia tajemniczy rytuał wywoływania duchów. W kolejnych dniach dziewczyny, jedna po drugiej, zaczynają znikać w niewyjaśnionych okolicznościach.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/ty-jestes-nastepna_8f0fce167a.JPG|19-11-2021|1|2021-11-12|100
Venom 2: Carnage|Venom to jedna z najważniejszych, najbardziej złożonych postaci Marvela. Opowiada o dziennikarzu Eddie'm Brocku (Tom Hardy), którego ciało w wyniku eksperymentu scaliło się z obcą formą życia - Venomem. W drugiej części poznamy Carnage’a (Woody Harrelson). Jest to jeden z najbardziej znanych czarnych charakterów Marvela. Reżyserem produkcji jest Andy Serkis.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/venom-official-poster-cut_85f9a84436.jpg|19-11-2021|1|2021-10-15|100
Wilk, lew i ja|Okazuje się jednak, że zwierzaki są poszukiwane i na trop Almy wpadają leśni strażnicy. Czy dziewczyna będzie mogła liczyć na pomoc swoich najbliższych? Czu uda się ocalić niezwykłą przyjaźń i nie dopuścić do rozłąki troskliwej opiekunki i jej podopiecznych? To początek największej przygody ich życia!|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/wilkilew-b1-pl-06-10-cut_2139b30c6c.jpg|19-11-2021|1|2021-11-19|100
